time,temperature_2m (°C)
2024-12-01T05:00,9.4
2024-12-01T05:15,9.5
2024-12-01T05:30,9.7
2024-12-01T05:45,9.9
2024-12-01T06:00,10.0
2024-12-01T06:15,10.1
2024-12-01T06:30,10.2
2024-12-01T06:45,10.4
2024-12-01T07:00,10.4
2024-12-01T07:15,10.4
2024-12-01T07:30,10.4
2024-12-01T07:45,10.3
2024-12-01T08:00,10.3
2024-12-01T08:15,10.4
2024-12-01T08:30,10.4
2024-12-01T08:45,10.4
2024-12-01T09:00,10.6
2024-12-01T09:15,10.7
2024-12-01T09:30,10.9
2024-12-01T09:45,11.0
2024-12-01T10:00,11.1
2024-12-01T10:15,11.1
2024-12-01T10:30,11.1
2024-12-01T10:45,11.1
2024-12-01T11:00,12.0
2024-12-01T11:15,12.1
2024-12-01T11:30,12.2
2024-12-01T11:45,12.4
2024-12-01T12:00,12.6
2024-12-01T12:15,12.9
2024-12-01T12:30,13.1
2024-12-01T12:45,13.4
2024-12-01T13:00,13.8
2024-12-01T13:15,13.9
2024-12-01T13:30,14.1
2024-12-01T13:45,14.3
2024-12-01T14:00,14.4
2024-12-01T14:15,14.5
2024-12-01T14:30,14.5
2024-12-01T14:45,14.5
2024-12-01T15:00,14.4
2024-12-01T15:15,14.4
2024-12-01T15:30,14.2
2024-12-01T15:45,14.1
2024-12-01T16:00,13.9
2024-12-01T16:15,13.5
2024-12-01T16:30,13.1
2024-12-01T16:45,12.7
2024-12-01T17:00,12.4
2024-12-01T17:15,12.0
2024-12-01T17:30,11.7
2024-12-01T17:45,11.4
2024-12-01T18:00,11.1
2024-12-01T18:15,10.9
2024-12-01T18:30,10.8
2024-12-01T18:45,10.6
2024-12-01T19:00,10.6
2024-12-01T19:15,10.5
2024-12-01T19:30,10.5
2024-12-01T19:45,10.6
2024-12-01T20:00,10.6
2024-12-01T20:15,10.6
2024-12-01T20:30,10.7
2024-12-01T20:45,10.8
2024-12-01T21:00,10.8
2024-12-01T21:15,10.8
2024-12-01T21:30,10.8
2024-12-01T21:45,10.8
2024-12-01T22:00,10.8
2024-12-01T22:15,10.9
2024-12-01T22:30,10.9
2024-12-01T22:45,10.9
2024-12-01T23:00,11.0
2024-12-01T23:15,10.9
2024-12-01T23:30,10.9
2024-12-01T23:45,10.8

